Scheme           mu   n  i VM             |     Commit       Open     Prover |     Verify      Proof       Comm     CV |             Time
dFRIttata-PCS    24   2 10 e2-highmem-8   |     21.01s     13.3ms     21.03s |     30.0ms     1.91MB   256.42MB   12%~ | 2026-02-02 23:41
dFRIttata-PCS    22   4 10 e2-highmem-8   |      3.11s      9.9ms      3.12s |     41.2ms     2.09MB    97.04MB     2% | 2026-02-02 21:38
dFRIttata-PCS    23   4 10 e2-highmem-8   |      6.27s     11.5ms      6.28s |     44.4ms     2.30MB   193.12MB     1% | 2026-02-02 21:41
dFRIttata-PCS    24   4 10 e2-highmem-8   |     12.56s     13.5ms     12.57s |     47.8ms     2.52MB   385.19MB     1% | 2026-02-02 21:45
dFRIttata-PCS    25   4 10 e2-highmem-8   |     25.24s     13.3ms     25.25s |     51.4ms     2.77MB   769.28MB     1% | 2026-02-02 21:53
dFRIttata-PCS    26   4 10 e2-highmem-8   |     50.55s     14.8ms     50.56s |     54.5ms     2.99MB  1537.35MB     1% | 2026-02-02 22:08
dFRIttata-PCS    22   8 10 e2-highmem-4   |      1.82s     16.9ms      1.83s |     63.6ms     3.15MB   114.24MB     3% | 2026-02-02 20:26
dFRIttata-PCS    23   8 10 e2-highmem-4   |      3.67s     16.3ms      3.69s |     68.4ms     3.50MB   226.46MB     2% | 2026-02-02 20:28
dFRIttata-PCS    24   8 10 e2-highmem-4   |      7.53s     17.6ms      7.55s |     74.2ms     3.78MB   450.60MB     1% | 2026-02-02 20:30
dFRIttata-PCS    25   8 10 e2-highmem-4   |     15.04s     19.2ms     15.06s |     78.0ms     4.12MB   898.79MB     1% | 2026-02-02 20:35
dFRIttata-PCS    26   8 10 e2-highmem-4   |     30.20s     18.3ms     30.22s |     82.6ms     4.45MB  1794.97MB     1% | 2026-02-02 20:44
dFRIttata-PCS    23  16 10 e2-highmem-2   |      2.92s     28.3ms      2.94s |     94.9ms     5.74MB   244.85MB     6% | 2026-02-02 19:20
dFRIttata-PCS    24  16 10 e2-highmem-2   |      6.01s     27.3ms      6.03s |    102.2ms     6.22MB   485.21MB     3% | 2026-02-02 19:22
dFRIttata-PCS    25  16 10 e2-highmem-2   |     12.27s     31.0ms     12.30s |    111.2ms     6.79MB   965.63MB     2% | 2026-02-02 19:26
dFRIttata-PCS    26  16 10 e2-highmem-2   |     24.16s     35.6ms     24.20s |    121.7ms     7.28MB  1925.98MB     4% | 2026-02-02 19:32
dHyperFond       17   2 10 e2-highmem-8   |          -          -      1.24s |    141.8ms     9.87MB     9.87MB     2% | 2026-02-02 23:42
dHyperFond       18   2 10 e2-highmem-8   |          -          -      2.34s |    162.5ms    11.40MB    11.40MB     1% | 2026-02-02 23:43
dHyperFond       19   2 10 e2-highmem-8   |          -          -      4.55s |    189.1ms    13.18MB    13.18MB     1% | 2026-02-02 23:45
dHyperFond       20   2 10 e2-highmem-8   |          -          -      9.07s |    221.1ms    15.22MB    15.22MB     2% | 2026-02-02 23:47
dHyperFond       21   2 10 e2-highmem-8   |          -          -     18.18s |    258.8ms    17.60MB    17.60MB     2% | 2026-02-02 23:51
dHyperFond       22   2 10 e2-highmem-8   |          -          -     37.45s |    312.5ms    20.39MB    20.39MB     4% | 2026-02-02 23:59
dHyperFond       23   2 10 e2-highmem-8   |          -          -     77.91s |    400.4ms    23.69MB    23.69MB     3% | 2026-02-03 00:15
dHyperFond       18   4 10 e2-highmem-4   |          -          -      1.53s |    298.1ms     9.87MB    29.62MB     2% | 2026-02-02 06:12
dHyperFond       19   4 10 e2-highmem-4   |          -          -      2.91s |    345.9ms    11.40MB    34.19MB     5% | 2026-02-02 06:13
dHyperFond       20   4 10 e2-highmem-4   |          -          -      5.55s |    392.0ms    13.18MB    39.53MB     4% | 2026-02-02 06:14
dHyperFond       21   4 10 e2-highmem-4   |          -          -     10.78s |    464.8ms    15.22MB    45.65MB     1% | 2026-02-02 06:17
dHyperFond       22   4 10 e2-highmem-4   |          -          -     21.79s |    571.9ms    17.60MB    52.79MB     1% | 2026-02-02 06:22
dHyperFond       23   4 10 e2-highmem-4   |          -          -     44.11s |    681.9ms    20.39MB    61.16MB     2% | 2026-02-02 06:31
dHyperFond       24   4 10 e2-highmem-4   |          -          -     90.19s |    833.4ms    23.70MB    71.08MB     4% | 2026-02-02 06:50
dHyperFond       19   8 10 e2-highmem-4   |          -          -      1.66s |    644.8ms     9.88MB    69.10MB     2% | 2026-02-02 02:26
dHyperFond       20   8 10 e2-highmem-4   |          -          -      2.98s |    742.4ms    11.40MB    79.78MB     2% | 2026-02-02 02:27
dHyperFond       21   8 10 e2-highmem-4   |          -          -      5.67s |    859.0ms    13.18MB    92.23MB     3% | 2026-02-02 02:28
dHyperFond       22   8 10 e2-highmem-4   |          -          -     11.05s |    996.6ms    15.22MB   106.51MB     4% | 2026-02-02 02:31
dHyperFond       23   8 10 e2-highmem-4   |          -          -     26.92s |      1.34s    17.60MB   123.17MB   38%! | 2026-02-02 02:37
dHyperFond       24   8 10 e2-highmem-4   |          -          -     44.69s |      1.44s    20.39MB   142.70MB     2% | 2026-02-02 02:47
dHyperFond       25   8 10 e2-highmem-4   |          -          -     91.12s |      1.80s    23.70MB   165.85MB     3% | 2026-02-02 03:06
